sweep_group,target_value,match_id,category,exact,within_2,within_5,within_25,within_50,valid,mean_diff
PBD,0.25,J03WMX,incoming,0.9272727272727272,0.9363636363636364,0.9363636363636364,0.9545454545454546,0.9636363636363636,1.0,2.6545454545454548
PBD,0.25,J03WMX,minor,0.9111111111111111,0.9111111111111111,0.9111111111111111,0.9555555555555556,0.9888888888888889,1.0,2.3666666666666667
PBD,0.25,J03WMX,event_start,0.9648854961832061,0.9694656488549618,0.9740458015267176,0.9809160305343512,0.9893129770992366,0.999236641221374,1.0443086325439266
PBD,0.25,J03WMX,event_end,0.918018018018018,0.9234234234234234,0.9306306306306307,0.9522522522522523,0.9774774774774775,0.9927927927927928,2.6445454545454545
PBD,0.25,J03WMX,total,0.9433884297520662,0.9483471074380165,0.9541322314049587,0.9677685950413223,0.9838842975206612,0.9962809917355372,1.7669421487603305
PBD,0.25,J03WN1,pass_like,0.9705488621151271,0.9785809906291834,0.9799196787148594,0.9892904953145917,0.9933065595716198,1.0,0.8165997322623829
PBD,0.25,J03WN1,set_piece,0.9789473684210527,0.9789473684210527,0.9894736842105263,0.9894736842105263,0.9894736842105263,0.9894736842105263,0.0425531914893617
PBD,0.25,J03WN1,incoming,0.9058823529411765,0.9176470588235294,0.9176470588235294,0.9294117647058824,0.9647058823529412,0.9882352941176471,3.238095238095238
PBD,0.25,J03WN1,minor,0.9487179487179487,0.9487179487179487,0.9487179487179487,0.9487179487179487,0.9487179487179487,1.0,5.346153846153846
PBD,0.25,J03WN1,event_start,0.9641791044776119,0.9711442786069652,0.9731343283582089,0.981094527363184,0.9870646766169154,0.9980099502487563,1.2991026919242272
PBD,0.25,J03WN1,event_end,0.8954869358669834,0.9049881235154394,0.9109263657957245,0.9346793349168646,0.9572446555819477,0.9893111638954869,3.7430639324487336
PBD,0.25,J03WN1,total,0.9328641039523552,0.9409853817000542,0.944775311315647,0.9599350297780184,0.9734704926908501,0.9940443963183541,2.3854899837574446
PBD,0.25,J03WPY,pass_like,0.9698924731182795,0.9806451612903225,0.9817204301075269,0.9838709677419355,0.9881720430107527,0.9967741935483871,1.3247033441208198
PBD,0.25,J03WPY,set_piece,0.9555555555555556,0.9555555555555556,0.9555555555555556,0.9555555555555556,0.9555555555555556,0.9555555555555556,0.0
PBD,0.25,J03WPY,incoming,0.86,0.87,0.88,0.89,0.94,1.0,11.07
